model1_name,model2_name,CKA,model1_layers,model2_layers,dataset1_name,dataset2_name
Baseline,GenKowlSub,"tensor([[-1.7938e-02, -1.4080e-02,  4.3253e-02,  3.4011e-02,  7.4707e-10,
          2.5647e-02,  1.9235e-02,  1.7914e-09,  5.8531e-03, -1.1706e-02,
          9.4535e-03,  3.4175e-03, -2.3506e-03, -1.2653e-02, -1.8437e-02,
         -3.0413e-02, -1.4445e-02, -1.8432e-02, -8.8294e-03,  3.6336e-03,
          1.3055e-02,  1.4064e-02,  2.3844e-03, -3.8101e-03,  3.2243e-10,
          3.3689e-03,  8.7991e-03,  9.3122e-03,  1.4776e-02,  3.0488e-02,
          2.2546e-02,  9.0670e-03]])",['model.layers.0'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0175, -0.0250,  0.0379,  0.0416,  0.0383,  0.0418,  0.0486,  0.0184,
          0.0324,  0.0468,  0.0605,  0.0546,  0.0591, -0.0082, -0.0204, -0.0222,
          0.0010,  0.0182,  0.0141,  0.0337,  0.0467,  0.0415,  0.0431,  0.0368,
          0.0374,  0.0337,  0.0445,  0.0488,  0.0507,  0.0391,  0.0537,  0.1004]])",['model.layers.1'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0183, -0.0101,  0.0673,  0.0726,  0.0102,  0.0520, -0.0498, -0.0488,
         -0.1019, -0.1902, -0.1025, -0.1366, -0.0679, -0.0834, -0.0845, -0.0605,
         -0.0687, -0.0703, -0.0615, -0.0582, -0.0646, -0.0627, -0.0691, -0.0627,
         -0.0722, -0.0693, -0.0735, -0.0739, -0.0749, -0.0737, -0.0730, -0.0615]])",['model.layers.2'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0544,  0.0460,  0.1260,  0.1169,  0.0547,  0.0393,  0.0953, -0.1655,
         -0.1501, -0.0999, -0.1182, -0.0856, -0.0565, -0.0852, -0.0619, -0.0586,
         -0.0444, -0.0658, -0.0467, -0.0502, -0.0263, -0.0287, -0.0263, -0.0259,
         -0.0227, -0.0176, -0.0154, -0.0235, -0.0265, -0.0204, -0.0283, -0.0396]])",['model.layers.3'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-0.0079,  0.0151,  0.1235,  0.0409, -0.3118, -0.3536, -0.2326, -0.6682,
         -0.2673, -0.1464, -0.1612, -0.1166,  0.0000, -0.1071, -0.1347, -0.1196,
         -0.0452, -0.0855, -0.0685, -0.0421, -0.0324, -0.0234, -0.0071, -0.0131,
         -0.0170, -0.0197, -0.0102, -0.0123, -0.0186, -0.0259, -0.0151,  0.0022]])",['model.layers.4'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 8.5377e-02,  7.6670e-02,  8.9443e-02,  1.3258e-01,  2.5000e-01,
          0.0000e+00,  3.3541e-01, -1.5000e+00, -2.5820e-01,  1.5811e-01,
          2.3570e-01, -2.3717e-01, -2.6500e-02,  4.5811e-03,  3.7654e-03,
          4.5726e-03,  5.3745e-03,  2.1483e-03,  2.6830e-03,  2.1309e-03,
          3.1847e-03,  2.6413e-03, -5.2226e-04,  5.1479e-04,  1.0028e-03,
         -3.9013e-03, -5.6199e-03, -7.1196e-03, -6.5717e-03, -1.0965e-02,
         -1.1160e-02, -3.0703e-02]])",['model.layers.5'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0572, -0.0075, -0.1783, -0.0589, -0.2041,  0.0000, -0.1875, -0.8018,
         -0.2887,  0.4523, -0.0589, -0.2942, -0.0602,  0.0401,  0.0429,  0.0597,
          0.0084,  0.0297,  0.0859,  0.0636,  0.0376,  0.0517,  0.0472,  0.0652,
          0.0630,  0.0634,  0.0781,  0.0791,  0.0789,  0.0593,  0.0694,  0.0099]])",['model.layers.6'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 0.0575,  0.0382, -0.3062, -0.2398, -0.4167,  0.0711, -0.1380,  0.1361,
         -0.0772, -0.3203, -0.1204,  0.1849, -0.2382, -0.0405, -0.0417, -0.0391,
         -0.0378, -0.0372, -0.0365, -0.0330, -0.0290, -0.0244, -0.0203, -0.0169,
         -0.0077, -0.0050,  0.0036,  0.0137,  0.0376,  0.0952,  0.0975,  0.1359]])",['model.layers.7'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[-9.5246e-02,  4.2859e-02,  2.9311e-02, -2.8796e-02, -1.3608e-01,
         -5.2175e-01,  6.4550e-02, -2.1822e-01,  2.3570e-01, -1.9803e-01,
          9.1287e-02, -6.5372e-02,  0.0000e+00, -1.3095e-01, -4.1830e-02,
         -1.1227e-01, -9.7733e-02, -1.0669e-01, -5.8222e-02,  6.8567e-03,
         -1.0415e-09,  7.7786e-03,  1.6559e-02,  4.3204e-03,  6.4726e-03,
          2.2532e-02,  2.9278e-02,  3.3742e-02,  1.6240e-02,  3.3571e-02,
          3.7168e-02,  6.0614e-02]])",['model.layers.8'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
Baseline,GenKowlSub,"tensor([[ 3.6621e-02,  7.5816e-02, -1.1444e-08,  7.6974e-02, -5.2414e-02,
          1.7928e-01,  0.0000e+00, -2.1381e+00,  9.9258e-02, -4.7809e-01,
          1.9518e-01, -6.6815e-02,  8.6146e-02, -4.2725e-02, -4.3157e-02,
         -4.3171e-02, -4.1634e-02, -4.0358e-02, -3.8044e-02, -3.6812e-02,
         -3.2436e-02, -2.9080e-02, -2.2864e-02, -1.9470e-02, -1.3734e-02,
         -1.0105e-03,  1.0494e-02,  2.1701e-02,  4.8948e-02,  1.8519e-01,
          1.9768e-01,  1.9686e-01]])",['model.layers.9'],"['base_model.model.model.layers.0', 'base_model.model.model.layers.1', 'base_model.model.model.layers.2', 'base_model.model.model.layers.3', 'base_model.model.model.layers.4', 'base_model.model.model.layers.5', 'base_model.model.model.layers.6', 'base_model.model.model.layers.7', 'base_model.model.model.layers.8', 'base_model.model.model.layers.9', 'base_model.model.model.layers.10', 'base_model.model.model.layers.11', 'base_model.model.model.layers.12', 'base_model.model.model.layers.13', 'base_model.model.model.layers.14', 'base_model.model.model.layers.15', 'base_model.model.model.layers.16', 'base_model.model.model.layers.17', 'base_model.model.model.layers.18', 'base_model.model.model.layers.19', 'base_model.model.model.layers.20', 'base_model.model.model.layers.21', 'base_model.model.model.layers.22', 'base_model.model.model.layers.23', 'base_model.model.model.layers.24', 'base_model.model.model.layers.25', 'base_model.model.model.layers.26', 'base_model.model.model.layers.27', 'base_model.model.model.layers.28', 'base_model.model.model.layers.29', 'base_model.model.model.layers.30', 'base_model.model.model.layers.31']",<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>,<custom_dataset.CustomDatasetCKA object at 0x76ee81a54160>
